mac_address,serial_number,
02:00:00:00:00:01,SN-ONU-00001,
02:00:00:00:00:02,SN-ONT-00002,
02:00:00:00:00:03,SN-ONU-00003,
02:00:00:00:00:04,SN-ROUTER-00004,
02:00:00:00:00:05,SN-AP-00005,
02:00:00:00:00:06,SN-MODEM-00006,
02:00:00:00:00:07,SN-ROUTER-00007,
02:00:00:00:00:08,SN-ONU-00008,
02:00:00:00:00:09,SN-ONT-00009,
02:00:00:00:00:0A,SN-ONU-00010,
02:00:00:00:00:0B,SN-ROUTER-00011,
02:00:00:00:00:0C,SN-AP-00012,
02:00:00:00:00:0D,SN-MODEM-00013,
02:00:00:00:00:0E,SN-ROUTER-00014,
02:00:00:00:00:0F,SN-ONU-00015,
02:00:00:00:00:10,SN-ONT-00016,
02:00:00:00:00:11,SN-ONU-00017,
02:00:00:00:00:12,SN-ROUTER-00018,
02:00:00:00:00:13,SN-AP-00019,
02:00:00:00:00:14,SN-MODEM-00020,
02:00:00:00:00:15,SN-ROUTER-00021,
02:00:00:00:00:16,SN-ONU-00022,
02:00:00:00:00:17,SN-ONT-00023,
02:00:00:00:00:18,SN-ONU-00024,
02:00:00:00:00:19,SN-ROUTER-00025,
02:00:00:00:00:1A,SN-AP-00026,
02:00:00:00:00:1B,SN-MODEM-00027,
02:00:00:00:00:1C,SN-ROUTER-00028,
02:00:00:00:00:1D,SN-ONU-00029,
02:00:00:00:00:1E,SN-ONT-00030,
02:00:00:00:00:1F,SN-ONU-00031,
02:00:00:00:00:20,SN-ROUTER-00032,
02:00:00:00:00:21,SN-AP-00033,
02:00:00:00:00:22,SN-MODEM-00034,
02:00:00:00:00:23,SN-ROUTER-00035,
02:00:00:00:00:24,SN-ONU-00036,
02:00:00:00:00:25,SN-ONT-00037,
02:00:00:00:00:26,SN-ONU-00038,
02:00:00:00:00:27,SN-ROUTER-00039,
02:00:00:00:00:28,SN-AP-00040,
02:00:00:00:00:29,SN-MODEM-00041,
02:00:00:00:00:2A,SN-ROUTER-00042,
02:00:00:00:00:2B,SN-ONU-00043,
02:00:00:00:00:2C,SN-ONT-00044,
02:00:00:00:00:2D,SN-ONU-00045,
02:00:00:00:00:2E,SN-ROUTER-00046,
02:00:00:00:00:2F,SN-AP-00047,
02:00:00:00:00:30,SN-MODEM-00048,
02:00:00:00:00:31,SN-ROUTER-00049,
02:00:00:00:00:32,SN-ONU-00050,
02:00:00:00:00:33,SN-ONT-00051,
02:00:00:00:00:34,SN-ONU-00052,
02:00:00:00:00:35,SN-ROUTER-00053,
02:00:00:00:00:36,SN-AP-00054,
02:00:00:00:00:37,SN-MODEM-00055,
02:00:00:00:00:38,SN-ROUTER-00056,
02:00:00:00:00:39,SN-ONU-00057,
02:00:00:00:00:3A,SN-ONT-00058,
02:00:00:00:00:3B,SN-ONU-00059,
02:00:00:00:00:3C,SN-ROUTER-00060,
02:00:00:00:00:3D,SN-AP-00061,
02:00:00:00:00:3E,SN-MODEM-00062,
02:00:00:00:00:3F,SN-ROUTER-00063,
02:00:00:00:00:40,SN-ONU-00064,
02:00:00:00:00:41,SN-ONT-00065,
02:00:00:00:00:42,SN-ONU-00066,
02:00:00:00:00:43,SN-ROUTER-00067,
02:00:00:00:00:44,SN-AP-00068,
02:00:00:00:00:45,SN-MODEM-00069,
02:00:00:00:00:46,SN-ROUTER-00070,
02:00:00:00:00:47,SN-ONU-00071,
02:00:00:00:00:48,SN-ONT-00072,
02:00:00:00:00:49,SN-ONU-00073,
02:00:00:00:00:4A,SN-ROUTER-00074,
02:00:00:00:00:4B,SN-AP-00075,
02:00:00:00:00:4C,SN-MODEM-00076,
02:00:00:00:00:4D,SN-ROUTER-00077,
02:00:00:00:00:4E,SN-ONU-00078,
02:00:00:00:00:4F,SN-ONT-00079,
02:00:00:00:00:50,SN-ONU-00080,
02:00:00:00:00:51,SN-ROUTER-00081,
02:00:00:00:00:52,SN-AP-00082,
02:00:00:00:00:53,SN-MODEM-00083,
02:00:00:00:00:54,SN-ROUTER-00084,
02:00:00:00:00:55,SN-ONU-00085,
02:00:00:00:00:56,SN-ONT-00086,
02:00:00:00:00:57,SN-ONU-00087,
02:00:00:00:00:58,SN-ROUTER-00088,
02:00:00:00:00:59,SN-AP-00089,
02:00:00:00:00:5A,SN-MODEM-00090,
02:00:00:00:00:5B,SN-ROUTER-00091,
02:00:00:00:00:5C,SN-ONU-00092,
02:00:00:00:00:5D,SN-ONT-00093,
02:00:00:00:00:5E,SN-ONU-00094,
02:00:00:00:00:5F,SN-ROUTER-00095,
02:00:00:00:00:60,SN-AP-00096,
02:00:00:00:00:61,SN-MODEM-00097,
02:00:00:00:00:62,SN-ROUTER-00098,
02:00:00:00:00:63,SN-ONU-00099,
02:00:00:00:00:64,SN-ONT-00100,
02:00:00:00:00:65,SN-ONU-00101,
02:00:00:00:00:66,SN-ROUTER-00102,
02:00:00:00:00:67,SN-AP-00103,
