Vendor,device_type,model,mac_address,serial_number,band_type
Nokia,ONU,G-140W-C,02:00:00:00:00:01,SN-ONU-00001,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:02,SN-ONT-00002,dual_band
ZTE,ONU,F601,02:00:00:00:00:03,SN-ONU-00003,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:04,SN-ROUTER-00004,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:05,SN-MODEM-00005,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:06,SN-ACCESSPOINT-00006,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:07,SN-ROUTER-00007,single_band
Netgear,Switch,GS308,02:00:00:00:00:08,SN-SWITCH-00008,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:09,SN-ONU-00009,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:0A,SN-ONT-00010,dual_band
ZTE,ONU,F601,02:00:00:00:00:0B,SN-ONU-00011,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:0C,SN-ROUTER-00012,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:0D,SN-MODEM-00013,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:0E,SN-ACCESSPOINT-00014,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:0F,SN-ROUTER-00015,single_band
Netgear,Switch,GS308,02:00:00:00:00:10,SN-SWITCH-00016,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:11,SN-ONU-00017,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:12,SN-ONT-00018,dual_band
ZTE,ONU,F601,02:00:00:00:00:13,SN-ONU-00019,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:14,SN-ROUTER-00020,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:15,SN-MODEM-00021,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:16,SN-ACCESSPOINT-00022,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:17,SN-ROUTER-00023,single_band
Netgear,Switch,GS308,02:00:00:00:00:18,SN-SWITCH-00024,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:19,SN-ONU-00025,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:1A,SN-ONT-00026,dual_band
ZTE,ONU,F601,02:00:00:00:00:1B,SN-ONU-00027,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:1C,SN-ROUTER-00028,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:1D,SN-MODEM-00029,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:1E,SN-ACCESSPOINT-00030,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:1F,SN-ROUTER-00031,single_band
Netgear,Switch,GS308,02:00:00:00:00:20,SN-SWITCH-00032,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:21,SN-ONU-00033,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:22,SN-ONT-00034,dual_band
ZTE,ONU,F601,02:00:00:00:00:23,SN-ONU-00035,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:24,SN-ROUTER-00036,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:25,SN-MODEM-00037,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:26,SN-ACCESSPOINT-00038,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:27,SN-ROUTER-00039,single_band
Netgear,Switch,GS308,02:00:00:00:00:28,SN-SWITCH-00040,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:29,SN-ONU-00041,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:2A,SN-ONT-00042,dual_band
ZTE,ONU,F601,02:00:00:00:00:2B,SN-ONU-00043,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:2C,SN-ROUTER-00044,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:2D,SN-MODEM-00045,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:2E,SN-ACCESSPOINT-00046,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:2F,SN-ROUTER-00047,single_band
Netgear,Switch,GS308,02:00:00:00:00:30,SN-SWITCH-00048,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:31,SN-ONU-00049,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:32,SN-ONT-00050,dual_band
ZTE,ONU,F601,02:00:00:00:00:33,SN-ONU-00051,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:34,SN-ROUTER-00052,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:35,SN-MODEM-00053,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:36,SN-ACCESSPOINT-00054,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:37,SN-ROUTER-00055,single_band
Netgear,Switch,GS308,02:00:00:00:00:38,SN-SWITCH-00056,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:39,SN-ONU-00057,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:3A,SN-ONT-00058,dual_band
ZTE,ONU,F601,02:00:00:00:00:3B,SN-ONU-00059,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:3C,SN-ROUTER-00060,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:3D,SN-MODEM-00061,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:3E,SN-ACCESSPOINT-00062,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:3F,SN-ROUTER-00063,single_band
Netgear,Switch,GS308,02:00:00:00:00:40,SN-SWITCH-00064,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:41,SN-ONU-00065,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:42,SN-ONT-00066,dual_band
ZTE,ONU,F601,02:00:00:00:00:43,SN-ONU-00067,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:44,SN-ROUTER-00068,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:45,SN-MODEM-00069,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:46,SN-ACCESSPOINT-00070,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:47,SN-ROUTER-00071,single_band
Netgear,Switch,GS308,02:00:00:00:00:48,SN-SWITCH-00072,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:49,SN-ONU-00073,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:4A,SN-ONT-00074,dual_band
ZTE,ONU,F601,02:00:00:00:00:4B,SN-ONU-00075,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:4C,SN-ROUTER-00076,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:4D,SN-MODEM-00077,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:4E,SN-ACCESSPOINT-00078,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:4F,SN-ROUTER-00079,single_band
Netgear,Switch,GS308,02:00:00:00:00:50,SN-SWITCH-00080,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:51,SN-ONU-00081,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:52,SN-ONT-00082,dual_band
ZTE,ONU,F601,02:00:00:00:00:53,SN-ONU-00083,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:54,SN-ROUTER-00084,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:55,SN-MODEM-00085,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:56,SN-ACCESSPOINT-00086,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:57,SN-ROUTER-00087,single_band
Netgear,Switch,GS308,02:00:00:00:00:58,SN-SWITCH-00088,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:59,SN-ONU-00089,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:5A,SN-ONT-00090,dual_band
ZTE,ONU,F601,02:00:00:00:00:5B,SN-ONU-00091,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:5C,SN-ROUTER-00092,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:5D,SN-MODEM-00093,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:5E,SN-ACCESSPOINT-00094,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:5F,SN-ROUTER-00095,single_band
Netgear,Switch,GS308,02:00:00:00:00:60,SN-SWITCH-00096,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:61,SN-ONU-00097,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:62,SN-ONT-00098,dual_band
ZTE,ONU,F601,02:00:00:00:00:63,SN-ONU-00099,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:64,SN-ROUTER-00100,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:65,SN-MODEM-00101,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:66,SN-ACCESSPOINT-00102,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:67,SN-ROUTER-00103,single_band
Netgear,Switch,GS308,02:00:00:00:00:68,SN-SWITCH-00104,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:69,SN-ONU-00105,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:6A,SN-ONT-00106,dual_band
ZTE,ONU,F601,02:00:00:00:00:6B,SN-ONU-00107,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:6C,SN-ROUTER-00108,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:6D,SN-MODEM-00109,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:6E,SN-ACCESSPOINT-00110,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:6F,SN-ROUTER-00111,single_band
Netgear,Switch,GS308,02:00:00:00:00:70,SN-SWITCH-00112,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:71,SN-ONU-00113,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:72,SN-ONT-00114,dual_band
ZTE,ONU,F601,02:00:00:00:00:73,SN-ONU-00115,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:74,SN-ROUTER-00116,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:75,SN-MODEM-00117,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:76,SN-ACCESSPOINT-00118,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:77,SN-ROUTER-00119,single_band
Netgear,Switch,GS308,02:00:00:00:00:78,SN-SWITCH-00120,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:79,SN-ONU-00121,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:7A,SN-ONT-00122,dual_band
ZTE,ONU,F601,02:00:00:00:00:7B,SN-ONU-00123,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:7C,SN-ROUTER-00124,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:7D,SN-MODEM-00125,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:7E,SN-ACCESSPOINT-00126,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:7F,SN-ROUTER-00127,single_band
Netgear,Switch,GS308,02:00:00:00:00:80,SN-SWITCH-00128,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:81,SN-ONU-00129,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:82,SN-ONT-00130,dual_band
ZTE,ONU,F601,02:00:00:00:00:83,SN-ONU-00131,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:84,SN-ROUTER-00132,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:85,SN-MODEM-00133,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:86,SN-ACCESSPOINT-00134,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:87,SN-ROUTER-00135,single_band
Netgear,Switch,GS308,02:00:00:00:00:88,SN-SWITCH-00136,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:89,SN-ONU-00137,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:8A,SN-ONT-00138,dual_band
ZTE,ONU,F601,02:00:00:00:00:8B,SN-ONU-00139,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:8C,SN-ROUTER-00140,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:8D,SN-MODEM-00141,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:8E,SN-ACCESSPOINT-00142,dual_band
